channelTitle,title,category_id,views,likes,comments,tags,publishedAt
셀프노트 스튜디오,[알라딘 OST] Speechless (+3 키업) - Naomi scott (cover by. 타르트),10,27312,566,50,"['일반인커버송', '역대급노래', '리누', 'LEENU', 'm.net', '일소라', '딩고뮤직', 'm2', '엠투', '역대급커버', '미친감성노래', '원더케이', '1thek', 'SMTOWN', 'Kpop', '발라드', '요즘듣고싶은노래', '추천노래', '명곡', '셀프노트', '라이브', '멜론', '음악', 'music', 'naomi scott', 'speechless', '알라딘OST', '+3key', 'Naomi', 'Speechless', 'disney', '알라딘커버', 'speechless cover', 'Aladdin Spechless', '침묵하지않아', '타르트']",2019-06-30T11:30:01Z
셀프노트 스튜디오,Billie Eilish - bad guy [ Cover by. 셀프어쿠스틱 ],10,18850,374,44,"['Billie Eilish - bad guy', '셀프어쿠스틱', '커버송', '일소라', 'm2', '창현노래방', '팝커버', '김수진', '수진', '스톱모션', 'billie Eilish', 'cover', '셀프노트', '셀프노트스튜디오', '베드가이', '베드가이커버', 'badguy cover', 'cover송', '일반인커버', 'J.Fla', 'music', 'JFlaMusic']",2019-06-21T12:15:01Z
셀프노트 스튜디오,이하이(LEE HI) - '누구없소 (NO ONE) :: COVER by. 타르트,10,13702,174,14,"['이하이', '누구없소', '커버곡', '타르트', '셀프노트', '창현노래방', '엠넷', 'm2', '커버영상', 'cover', '노래커버', '누구없소커버', '누구없소cover', '이하이커버', '전철민', '카진', '일소라', '일반인노래', '일반인커버영상']",2019-06-19T11:30:01Z
셀프노트 스튜디오,닐로 - 넋두리 (일반인 노래영상 제작) :: 셀프노트 일반인 녹음실,22,9174,66,5,"['셀프녹음실', '일반인녹음실', '노래영상제작', '일반인뮤직비디오']",2019-02-01T09:11:49Z
셀프노트 스튜디오,폴킴 - 너를 만나 (일반인 노래영상 제작) :: 셀프노트 일반인 녹음실,22,11739,125,4,"['일반인 노래 녹음', '커버영상', '셀프노트녹음실', '셀프녹음실', '일반인녹음실', '노래영상만들기']",2019-02-01T08:51:43Z
셀프노트 스튜디오,"남사친이 불러주는 ""멜로망스 - 인사 "" 커버  (cover by. 더히든 - 임성현)",10,29737,281,21,"['일반인커버송', '역대급노래', '리누', 'LEENU', 'm.net', '일소라', '딩고뮤직', 'm2', '엠투', '역대급커버', '미친감성노래', '원더케이', '1thek', 'SMTOWN', 'Kpop', '발라드', '요즘듣고싶은노래', '추천노래', '명곡', '셀프노트', '라이브', '멜론', '음악', 'music', '멜로망스', '남사친', '사랑의인사', '감미로운노래', '더히든', '전철민', '임성현', '멜로망스인사커버', '인사커버', '멜로망스 커버', '멜로망스 노래듣기', '1시간듣기', '셀프노트스튜디오', '커버영상', '노래', '케이팝', '히든싱어', '히든싱어조성모', '히든싱어임성현', '인사 커버송', '일반인노래', 'beautiful instrumental music', '커버', 'relaxing piano music']",2019-07-17T10:15:00Z
셀프노트 스튜디오,축가로 제격인 마크툽 - 오늘도 빛나는 너에게 커버 (Cover by 더히든 전철민x카진),10,304389,2205,160,"['일반인커버송', '역대급노래', '리누', 'LEENU', 'm.net', '일소라', '딩고뮤직', 'm2', '엠투', '역대급커버', '미친감성노래', '원더케이', '1thek', 'SMTOWN', 'Kpop', '발라드', '요즘듣고싶은노래', '추천노래', '명곡', '셀프노트', '라이브', '멜론', '음악', 'music', '마크툽', '빛나는너에게커버', '오늘도빛나는너에게 커버', '오늘도 빛나는너에게', '전철민', '황진철', '카진', '더히든', '창현노래방 전철민', '김범수', '히든싱어', '셀프노트녹음실', '셀프노트스튜디오', 'cover song', '이라온', 'MAKTUB', '보컬', 'vox', 'rec', 'ballad', 'male', '피아노버전', '오늘도빛나는너에게 피아노', 'pop', 'korea', '보컬피아노', '듀엣', '남자듀엣', 'music of asia', '노래', '멜론곡', '멜론차트', 'to you my Light', '알앤비', 'MAKTUB Company', '고음', '고음노래', '높은노래', '남자노래', 'beautiful instrumental music', 'relaxing piano music', '커버', 'kpop', '일반인노래', '레전드노래', '윤도', '남자축가', '축가추천', '결혼식축가', '축가', '커버가수']",2019-07-19T10:15:01Z
셀프노트 스튜디오,"남자커버중 역대급으로 부른 호텔델루나OST ""태연 - 그대라는시"" 커버 (cover by. 지울)",10,91826,915,57,"['일반인커버송', '역대급노래', '리누', 'LEENU', 'm.net', '일소라', '딩고뮤직', 'm2', '엠투', '역대급커버', '미친감성노래', '원더케이', '1thek', 'SMTOWN', 'Kpop', '발라드', '요즘듣고싶은노래', '추천노래', '명곡', '셀프노트', '라이브', '멜론', '음악', 'music', '지울', '그대라는 시', '그대라는시 커버', '태연 커버곡', '셀프노트스튜디오', '노래하는 지울', '음색좋은노래', '듣고싶은노래', '호텔델루나', '호텔델루나ost', '호텔델루나태연', '호텔델루나 OST 모음', '호텔델루나 그대라는 시 커버', '한국노래', '가요', '멜론1위곡', '드라마ost', 'cover', '커버', '커버남자', '남자커버곡', '그대라는 시 남자', '그대라는시남자버전', '그대라는시 남자 ver']",2019-07-29T10:12:18Z
셀프노트 스튜디오,"호텔델루나 OST 먼데이 키즈, 펀치 - Another Day 커버 (Cover by. 카진x타르트)",10,188403,4976,150,"['일반인커버송', '역대급노래', '리누', 'LEENU', 'm.net', '일소라', '딩고뮤직', 'm2', '엠투', '역대급커버', '미친감성노래', '원더케이', '1thek', 'SMTOWN', 'Kpop', '발라드', '요즘듣고싶은노래', '추천노래', '명곡', '셀프노트', '라이브', '멜론', '음악', 'music', '호텔델루나OST', '먼데이키즈', '펀치', 'Another day', '커버', '카진', '타르트', '남여듀엣곡', '드라마OST', 'cover', 'another day 커버', '호텔델루나OST 커버', '커버곡보기', '셀프노트녹음실', '셀프노트스튜디오', '호텔델루나 another day', 'another day 듀엣 커버']",2019-07-31T10:15:08Z
셀프노트 스튜디오,"철민이형의 역대급 고음 ""박혜원 - 시든 꽃에 물을 주듯"" 남자 커버 (Cover by. 더히든 전철민)",10,801536,6264,323,"['일반인커버송', '역대급노래', '리누', 'LEENU', 'm.net', '일소라', '딩고뮤직', 'm2', '엠투', '역대급커버', '미친감성노래', '원더케이', '1thek', 'SMTOWN', 'Kpop', '발라드', '요즘듣고싶은노래', '추천노래', '명곡', '셀프노트', '라이브', '멜론', '음악', 'music', '시든꽃에 물을 주듯 커버', '시든꽃에 물을 주는 남자', '박혜원', '커버송', '커버가수', '전철민', '셀프노트스튜디오', '셀프노트녹음실', '전철민 커버', '더히든', '커버', '남자커버곡']",2019-08-12T10:15:30Z
